Offer Type,Property Type,Title,Address,Price,Listing Link,Province,Municipality,Barangay,Coordinates
Buy,Condominium,"Studio for Sale at Camella Manors Soleia, Butuan, Agusan del Norte","Villa Kananga, Butuan",Contact agent for price,https://www.lamudi.com.ph/studio-for-sale-at-camella-manors-soleia-butuan-ag-16588286305.html,Agusan del Norte,Butuan Agusan del Norte,"Montalban Street Villa Kananga, Butuan City ",POINT (125.5384633 8.9290268)
Buy,Condominium,Camella Manors Soleia - Building  1-Bedroom Condo for Assume in Butuan City,"Villa Kananga, Butuan",Contact agent for price,https://www.lamudi.com.ph/1-bedroom-condo-for-assume-in-butuan-city-167107572480.html,Agusan del Norte,Butuan Agusan del Norte,"Montalban Street Villa Kananga, Butuan City ",POINT (125.5384633 8.9290268)
Buy,Condominium,1st - 4th Floor 2 Bedroom Corner Unit Amenity View for Sale in Butuan City,"Villa Kananga, Butuan","₱ 6,751,000",https://www.lamudi.com.ph/1st-4th-floor-2-bedroom-corner-unit-amenity-view-f-166608506380.html,Agusan del Norte,Butuan Agusan del Norte,"Montalban Street Villa Kananga, Butuan City ",POINT (125.5384633 8.9290268)
Buy,Condominium,Beach Front Condo Property in Boracay Philippines,"Yapak, Malay","₱ 20,000,000",https://www.lamudi.com.ph/beach-front-condo-property-in-boracay-philippines-168379929974.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,"Pre-selling Studio Deluxe Unit for Sale at Costa Vista Boracay, Malay","Yapak, Malay",Contact agent for price,https://www.lamudi.com.ph/pre-selling-studio-deluxe-unit-for-sale-at-costa-v-167349386310.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,"Boracay condo station zero condo unit for sale in Malay, Aklan","Yapak, Malay","₱ 12,456,768",https://www.lamudi.com.ph/boracay-condo-station-zero-condo-units-for-sale-166512313593.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,"Pre-selling 1 Bedroom Unit For Sale at Costa Vista Boracay, Malay, Aklan","Yapak, Malay",Contact agent for price,https://www.lamudi.com.ph/own-a-piece-of-paradise-in-boracay-and-earn-as-muc-167270654959.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,"82AKN182-Foreclosed Commercial condominium unit in Boracay Island, Malay, Aklan","Yapak, Malay","₱ 12,782,000",https://www.lamudi.com.ph/82akn182-foreclosed-commercial-condominium-unit-in-167936169224.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,"53AKN218-Foreclosed Residential Condominium Unit in Boracay Island, Malay, Aklan","Yapak, Malay","₱ 6,949,000",https://www.lamudi.com.ph/53akn218-foreclosed-residential-condominium-unit-i-167936169558.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,Savoy Hotel Boracay Condotel for Sale,"Yapak, Malay","₱ 15,000,000",https://www.lamudi.com.ph/savoy-hotel-boracay-condotel-for-sale-168385965942.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,Boracay Newcoast- Megaworld (OCEAN GARDEN VILLAS),"Yapak, Malay","₱ 9,300,000",https://www.lamudi.com.ph/boracay-newcoast-megaworld-ocean-garden-villas-168364351254.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,Ocean Garden Villa- Boracay Newcoast Megaworld,"Yapak, Malay","₱ 9,000,000",https://www.lamudi.com.ph/ocean-garden-villa-boracay-newcoast-megaworld-168327121594.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,Boracay Newcoast - Megaworld Condominium Unit for Sale,"Yapak, Malay","₱ 9,000,000",https://www.lamudi.com.ph/boracay-newcoast-megaworld-condominium-unit-for-sa-168325403962.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
Buy,Condominium,Savoy Hotel Boracay Unit for Sale,"Yapak, Malay","₱ 16,000,000",https://www.lamudi.com.ph/savoy-hotel-boracay-unit-for-sale-168377430846.html,Aklan,Malay Aklan,"Ilig-Iligan Beach, Brgy. Yapak, Boracay, Boracay Island, Western Visayas, 5608",POINT (121.915286 11.987)
